date,open,high,low,close,volume,zchange,zAVG,zturnover,zPER,zPBR,zPSR,zPCFR
2010-03-16,12.1558,12.8222,11.9839,12.3653,11073746.0,78.7879,59.2556,83.5881,77.3083,13.2195,6.529,33.7599
2010-03-17,12.1558,12.6483,11.9881,12.4617,6141142.0,0.7797,59.0423,46.3552,77.9111,13.3226,6.5799,34.0231
2010-03-18,12.5037,12.5749,12.0719,12.3046,4249323.0,-1.2614,58.6685,32.0752,76.9283,13.1545,6.4969,33.594
2010-03-19,12.1558,12.2501,11.6067,11.657,4117693.0,-5.2632,56.3968,31.0816,72.8795,12.4622,6.155,31.8259
2010-03-22,11.5605,11.9252,11.5605,11.8058,2086870.0,1.2765,56.1253,15.7523,73.8098,12.6213,6.2336,32.2321
2010-03-23,11.7995,11.7995,11.5543,11.659,1572838.0,-1.2427,55.7089,11.8723,72.8926,12.4644,6.1561,31.8316
2010-03-24,11.6695,12.8243,11.6695,12.8243,3616067.0,9.9946,59.2716,27.2952,80.1779,13.7102,6.7714,35.013
2010-03-25,13.2037,13.5809,13.0381,13.0737,5627423.0,1.9448,63.4544,42.4775,81.7372,13.9768,6.9031,35.694
2010-03-26,13.1408,13.8094,13.0465,13.407,3755596.0,2.5489,63.7784,28.3484,83.8206,14.3331,7.079,36.6038
2010-03-29,13.5285,13.7444,13.0004,13.6061,2576796.0,1.4851,63.878,19.4505,85.0654,14.5459,7.1841,37.1474
2010-03-30,13.4132,14.2076,13.3504,13.9372,2473972.0,2.4338,66.2508,18.6743,87.1356,14.8999,7.359,38.0514
2010-03-31,13.7905,14.1992,13.7381,13.8324,2057656.0,-0.7519,66.6375,15.5318,86.4805,14.7879,7.3037,37.7653
2010-04-01,13.8366,14.8174,13.7695,13.8911,2586952.0,0.4242,68.1452,19.5271,86.8474,14.8507,7.3346,37.9256
2010-04-02,13.7276,14.0797,13.539,13.7989,2095565.0,-0.6639,65.8827,15.818,86.2708,14.7521,7.2859,37.6738
2010-04-06,13.8408,14.6498,13.6228,14.5659,2050340.0,5.5589,67.5358,15.4766,91.0666,15.5721,7.691,39.768
2010-04-07,14.5639,14.8761,14.2935,14.6707,2234843.0,0.7194,69.6177,16.8693,91.7217,15.6842,7.7463,40.0541
2010-04-08,14.4926,14.6351,13.7905,13.7989,2295345.0,-5.9429,67.9861,17.326,86.2708,14.7521,7.2859,37.6738
2010-04-09,13.9372,14.1174,13.6228,14.042,1718300.0,1.7618,66.4219,12.9703,87.7908,15.012,7.4143,38.3375
2010-04-12,14.042,14.283,13.8366,14.0986,1727645.0,0.403,66.9604,13.0408,88.1446,15.0725,7.4442,38.492
2010-04-13,14.107,14.1237,12.6881,13.2665,2876875.0,-5.9016,63.5087,21.7155,82.9426,14.183,7.0049,36.2204
2010-04-14,12.9941,13.3692,12.8998,13.2665,1315579.0,0.0,62.7772,9.9304,82.9426,14.183,7.0049,36.2204
2010-04-15,13.1617,13.3085,12.2522,12.5099,1386954.0,-5.703,60.9179,10.4692,78.2124,13.3741,6.6054,34.1547
2010-04-16,12.5435,12.86,12.3653,12.598,1150559.0,0.7036,60.2685,8.6848,78.7628,13.4682,6.6519,34.3951
2010-04-19,12.598,12.883,12.4597,12.5435,983645.0,-0.4325,60.663,7.4249,78.4221,13.41,6.6231,34.2463
2010-04-20,12.533,12.6818,12.0552,12.4073,1008018.0,-1.086,58.7533,7.6088,77.5704,13.2643,6.5512,33.8744
2010-04-21,12.4282,13.3294,12.3276,13.254,1463628.0,6.8243,61.9114,11.0479,82.864,14.1695,6.9982,36.1861
2010-04-22,13.1827,13.736,13.1785,13.4342,1460378.0,1.3599,64.1697,11.0234,81.6647,5.0716,7.0934,36.6782
2010-04-23,13.2037,13.713,13.2037,13.2037,971416.0,-1.7161,64.0999,7.3325,80.2633,4.9846,6.9717,36.0487
2010-04-26,13.2037,13.7549,13.1869,13.518,1064557.0,2.381,64.629,8.0356,82.1743,5.1033,7.1377,36.907
2010-04-27,13.4342,13.4342,12.5749,12.9312,1319778.0,-4.3411,61.5965,9.9621,78.607,4.8817,6.8278,35.3049
2010-04-28,12.6629,12.927,12.5079,12.7489,829713.0,-1.41,60.8022,6.2629,77.4986,4.8129,6.7315,34.8071
2010-04-29,12.8348,12.9103,12.1683,12.2019,664651.0,-4.2906,60.104,5.017,74.1734,4.6064,6.4427,33.3136
2010-04-30,12.1306,12.4261,11.7366,12.4261,593570.0,1.8379,57.4908,4.4804,75.5366,4.691,6.5611,33.9259
2010-05-04,12.1558,12.6797,11.8099,12.5602,358807.0,1.0794,59.6605,2.7084,76.352,4.7417,6.6319,34.2921
2010-05-05,12.4911,12.8767,12.4492,12.8516,515105.0,2.3194,60.7393,3.8882,78.1229,4.8517,6.7858,35.0874
2010-05-06,12.8306,12.8683,12.5749,12.5812,552668.0,-2.1037,60.6408,4.1717,76.4794,4.7496,6.643,34.3493
2010-05-07,12.183,12.73,12.183,12.6336,502769.0,0.4165,59.8157,3.7951,76.7979,4.7694,6.6707,34.4923
2010-05-10,12.9061,12.9061,11.5689,11.8623,692814.0,-6.1048,57.1572,5.2296,72.1095,4.4782,6.2634,32.3866
