代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),A股流通市值(元),B股流通市值(元),总市值(元),A股流通股本(股),B股流通股本(股),总股本(股),市盈率,市净率,市销率,市现率,
002648.SZ,卫星化学,2011-12-28,N/A,2.8811,3.0365,2.8584,2.8867,13341338,482281448.4,-0.3522,-10.875,36.1494,33.3533,1426000000,N/A,7130000000,40000000,0,200000000,11.5701,7.0693,4.366,73.8101,
002648.SZ,卫星化学,2011-12-29,2.8867,2.7936,2.8584,2.7531,2.7596,7412039,256991787.3,-0.1271,-4.4039,34.6722,18.5301,1363200000,N/A,6816000000,40000000,0,200000000,11.0605,6.758,4.1737,70.5596,
002648.SZ,卫星化学,2011-12-30,2.7596,2.7936,3.0349,2.7717,2.9232,7831106,281967052.6,0.1636,5.9272,36.006,19.5778,1444000000,N/A,7220000000,40000000,0,200000000,11.7161,7.1585,4.4211,74.7418,
002648.SZ,卫星化学,2012-01-04,2.9232,2.9151,2.9847,2.8916,2.9385,5576709,202327086,0.0154,0.5263,36.2807,13.9418,1451600000,N/A,7258000000,40000000,0,200000000,11.7778,7.1962,2.2347,3.9368,
002648.SZ,卫星化学,2012-01-05,2.9385,2.9134,2.9377,2.7612,2.8219,4618785,162387200.5,-0.1166,-3.968,35.158,11.547,1394000000,N/A,6970000000,40000000,0,200000000,11.3104,6.9107,2.146,3.7806,
002648.SZ,卫星化学,2012-01-06,2.8219,2.7896,3.0511,2.7693,2.9912,5279758,189547638.4,0.1692,5.9971,35.9008,13.1994,1477600000,N/A,7388000000,40000000,0,200000000,11.9887,7.3251,2.2747,4.0073,
002648.SZ,卫星化学,2012-01-09,2.9912,2.975,3.1823,2.9539,3.1645,8071909,309043399.3,0.1733,5.7932,38.2863,20.1798,1563200000,N/A,7816000000,40000000,0,200000000,12.6833,7.7495,2.4065,4.2395,
002648.SZ,卫星化学,2012-01-10,3.1645,3.1256,3.2203,3.0948,3.1985,6861300,268035076.6,0.034,1.0747,39.0648,17.1532,1580000000,N/A,7900000000,40000000,0,200000000,12.8196,7.8328,2.4324,4.2851,
002648.SZ,卫星化学,2012-01-11,3.1985,3.1742,3.2228,3.1337,3.1499,4301169,167950284.7,-0.0486,-1.519,39.0476,10.7529,1556000000,N/A,7780000000,40000000,0,200000000,12.6248,7.7138,2.3954,4.22,
002648.SZ,卫星化学,2012-01-12,3.1499,3.1499,3.2195,3.0673,3.0851,5079752,196609359.9,-0.0648,-2.0566,38.7045,12.6994,1524000000,N/A,7620000000,40000000,0,200000000,12.3652,7.5551,2.3462,4.1332,
002648.SZ,卫星化学,2012-01-13,3.0851,3.0673,3.1458,2.9944,3.03,4261863,160961176.1,-0.0551,-1.7848,37.7678,10.6547,1496800000,N/A,7484000000,40000000,0,200000000,12.1445,7.4203,2.3043,4.0594,
002648.SZ,卫星化学,2012-01-16,3.03,3.0041,3.0284,2.8568,2.8568,3152898,113417872.4,-0.1733,-5.7189,35.9726,7.8822,1411200000,N/A,7056000000,40000000,0,200000000,11.45,6.9959,2.1725,3.8273,
002648.SZ,卫星化学,2012-01-17,2.8568,2.8195,3.0673,2.8195,3.0462,3281161,120293318.1,0.1895,6.6327,36.6618,8.2029,1504800000,N/A,7524000000,40000000,0,200000000,12.2094,7.46,2.3166,4.0811,
002648.SZ,卫星化学,2012-01-18,3.0462,3.043,3.1094,2.8754,2.8827,3228390,119202443.8,-0.1636,-5.3695,36.9232,8.071,1424000000,N/A,7120000000,40000000,0,200000000,11.5538,7.0594,2.1922,3.862,
002648.SZ,卫星化学,2012-01-19,2.8827,2.8649,2.9701,2.8649,2.9466,1771929,64155681.6,0.064,2.2191,36.2067,4.4298,1455600000,N/A,7278000000,40000000,0,200000000,11.8102,7.216,2.2409,3.9477,
002648.SZ,卫星化学,2012-01-20,2.9466,3.0608,3.2414,3.0608,3.2414,9958464,395532069.9,0.2947,10.0027,39.7182,24.8962,1601200000,N/A,8006000000,40000000,0,200000000,12.9916,7.9378,2.465,4.3425,
002648.SZ,卫星化学,2012-01-30,3.2414,3.1968,3.2875,3.1766,3.2535,6501517,260592060.4,0.0121,0.3747,40.0817,16.2538,1607200000,N/A,8036000000,40000000,0,200000000,13.0403,7.9676,2.4742,4.3588,
002648.SZ,卫星化学,2012-01-31,3.2535,3.243,3.2616,3.1888,3.2333,3254133,129470880.8,-0.0202,-0.6222,39.7866,8.1353,1597200000,N/A,7986000000,40000000,0,200000000,12.9591,7.918,2.4588,4.3317,
002648.SZ,卫星化学,2012-02-01,3.2333,3.2171,3.3507,3.2033,3.2357,5667779,230184846.9,0.0024,0.0751,40.6129,14.1694,1598400000,N/A,7992000000,40000000,0,200000000,12.9689,7.924,2.4607,4.335,
002648.SZ,卫星化学,2012-02-02,3.2357,3.2236,3.2681,3.1604,3.2527,4327505,172347515.5,0.017,0.5255,39.8261,10.8188,1606800000,N/A,8034000000,40000000,0,200000000,13.037,7.9656,2.4736,4.3577,
002648.SZ,卫星化学,2012-02-03,3.2527,3.2471,3.2875,3.2203,3.2778,4665295,188042857.6,0.0251,0.7717,40.3067,11.6632,1619200000,N/A,8096000000,40000000,0,200000000,13.1376,8.0271,2.4927,4.3914,
002648.SZ,卫星化学,2012-02-06,3.2778,3.3086,3.3118,3.2228,3.2511,3973610,160095681.5,-0.0267,-0.8152,40.2897,9.934,1606000000,N/A,8030000000,40000000,0,200000000,13.0305,7.9616,2.4724,4.3556,
002648.SZ,卫星化学,2012-02-07,3.2511,3.2381,3.239,3.1402,3.158,3514575,138084401,-0.0931,-2.8643,39.2891,8.7864,1560000000,N/A,7800000000,40000000,0,200000000,12.6573,7.7336,2.4016,4.2308,
002648.SZ,卫星化学,2012-02-08,3.158,3.175,3.3224,3.175,3.3037,5951148,240297125.6,0.1458,4.6154,40.3783,14.8779,1632000000,N/A,8160000000,40000000,0,200000000,13.2415,8.0905,2.5124,4.4261,
002648.SZ,卫星化学,2012-02-09,3.3037,3.2803,3.3021,3.2616,3.2973,4012557,162631259.1,-0.0065,-0.1961,40.5306,10.0314,1628800000,N/A,8144000000,40000000,0,200000000,13.2155,8.0747,2.5075,4.4174,
