代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),A股流通市值(元),B股流通市值(元),总市值(元),A股流通股本(股),B股流通股本(股),总股本(股),市盈率,市净率,市销率,市现率,
600089.SH,特变电工,1997-06-18,N/A,0.2082,0.2314,0.1883,0.2281,22359300,247522417,0.1342,142.7746,11.0702,74.531,378000000,N/A,1029168000,30000000,0,81680000,54.7095,11.1771,8.2121,N/A,
600089.SH,特变电工,1997-06-19,0.2281,0.2169,0.2236,0.2053,0.2053,9283800,108902802,-0.0228,-10,11.7304,30.946,340200000,N/A,926251200,30000000,0,81680000,49.2386,10.0594,7.3909,N/A,
600089.SH,特变电工,1997-06-20,0.2053,0.1937,0.2136,0.1901,0.2077,8057000,90415114,0.0024,1.1464,11.2219,26.8567,344100000,N/A,936869600,30000000,0,81680000,49.803,10.1747,7.4756,N/A,
600089.SH,特变电工,1997-06-23,0.2077,0.21,0.2113,0.1939,0.1973,5679400,63556142,-0.0103,-4.9695,11.1906,18.9313,327000000,N/A,890312000,30000000,0,81680000,47.3281,9.6691,7.1041,N/A,
600089.SH,特变电工,1997-06-24,0.1973,0.1991,0.2171,0.1973,0.2073,5037700,58441732,0.01,5.0459,11.6009,16.7923,343500000,N/A,935236000,30000000,0,81680000,49.7162,10.157,7.4626,N/A,
600089.SH,特变电工,1997-06-25,0.2073,0.2084,0.2091,0.1993,0.2028,2284900,25719417,-0.0045,-2.1834,11.2563,7.6163,336000000,N/A,914816000,30000000,0,81680000,48.6307,9.9352,7.2997,N/A,
600089.SH,特变电工,1997-06-26,0.2028,0.2046,0.2051,0.1991,0.1991,2217800,24617072,-0.0036,-1.7857,11.0998,7.3927,330000000,N/A,898480000,30000000,0,81680000,47.7623,9.7578,7.1693,N/A,
600089.SH,特变电工,1997-06-27,0.1991,0.1993,0.2037,0.1843,0.1868,2753500,29454470,-0.0123,-6.1818,10.6971,9.1783,309600000,N/A,842937600,30000000,0,81680000,44.8097,9.1546,6.7261,N/A,
600089.SH,特变电工,1997-07-02,0.1868,0.1883,0.1901,0.1682,0.1682,1827500,17603753,-0.0186,-9.9806,9.6327,6.0917,278700000,N/A,758807200,30000000,0,81680000,40.3374,8.2409,6.0548,N/A,
600089.SH,特变电工,1997-07-03,0.1682,0.1684,0.1745,0.1629,0.1629,1610700,15093223,-0.0053,-3.1216,9.3706,5.369,270000000,N/A,735120000,30000000,0,81680000,39.0782,7.9837,5.8658,N/A,
600089.SH,特变电工,1997-07-04,0.1629,0.1631,0.1658,0.1595,0.1608,1053000,9397194,-0.0022,-1.3333,8.9242,3.51,266400000,N/A,725318400,30000000,0,81680000,38.5572,7.8772,5.7876,N/A,
600089.SH,特变电工,1997-07-07,0.1608,0.1626,0.1655,0.1448,0.1463,1066800,9195297,-0.0145,-9.009,8.6195,3.556,242400000,N/A,659974400,30000000,0,81680000,35.0836,7.1675,5.2662,N/A,
600089.SH,特变电工,1997-07-08,0.1463,0.1466,0.1537,0.1414,0.1517,1106900,9055402,0.0054,3.7129,8.1809,3.6897,251400000,N/A,684478400,30000000,0,81680000,36.3862,7.4337,5.4617,N/A,
600089.SH,特变电工,1997-07-09,0.1517,0.1517,0.1517,0.1448,0.1477,807000,6588412,-0.004,-2.6253,8.1641,2.69,244800000,N/A,666508800,30000000,0,81680000,35.4309,7.2385,5.3183,N/A,
600089.SH,特变电工,1997-07-10,0.1477,0.1495,0.1508,0.1454,0.1465,704800,5733843,-0.0013,-0.8578,8.1354,2.3493,242700000,N/A,660791200,30000000,0,81680000,35.127,7.1764,5.2727,N/A,
600089.SH,特变电工,1997-07-11,0.1465,0.1448,0.1602,0.1414,0.1579,1687400,14380383,0.0114,7.7874,8.5222,5.6247,261600000,N/A,712249600,30000000,0,81680000,37.8625,7.7353,5.6833,N/A,
600089.SH,特变电工,1997-07-14,0.1579,0.162,0.1716,0.1611,0.1696,2358700,21728854,0.0118,7.4541,9.2122,7.8623,281100000,N/A,765341600,30000000,0,81680000,40.6848,8.3119,6.107,N/A,
600089.SH,特变电工,1997-07-15,0.1696,0.1693,0.1693,0.1602,0.1648,1337400,12143277,-0.0049,-2.8815,9.0798,4.458,273000000,N/A,743288000,30000000,0,81680000,39.5124,8.0724,5.931,N/A,
600089.SH,特变电工,1997-07-16,0.1648,0.1648,0.1669,0.1575,0.1644,1101400,9843696,-0.0004,-0.2198,8.9374,3.6713,272400000,N/A,741654400,30000000,0,81680000,39.4256,8.0546,5.9179,N/A,
600089.SH,特变电工,1997-07-17,0.1644,0.1628,0.1667,0.1595,0.1631,878300,7954787,-0.0013,-0.7709,9.057,2.9277,270300000,N/A,735936800,30000000,0,81680000,39.1217,7.9925,5.8723,N/A,
600089.SH,特变电工,1997-07-18,0.1631,0.1666,0.1667,0.1593,0.1615,815800,7328312,-0.0016,-0.9989,8.983,2.7193,267600000,N/A,728585600,30000000,0,81680000,38.7309,7.9127,5.8137,N/A,
600089.SH,特变电工,1997-07-21,0.1615,0.1631,0.1702,0.1622,0.1649,1404800,12933912,0.0034,2.13,9.2069,4.6827,273300000,N/A,744104800,30000000,0,81680000,39.5559,8.0812,5.9375,N/A,
600089.SH,特变电工,1997-07-22,0.1649,0.1644,0.1738,0.1633,0.1724,1600700,14931417,0.0074,4.5005,9.3281,5.3357,285600000,N/A,777593600,30000000,0,81680000,41.3361,8.4449,6.2047,N/A,
600089.SH,特变电工,1997-07-23,0.1724,0.1753,0.1807,0.1704,0.1716,2022600,19632552,-0.0007,-0.4202,9.7066,6.742,284400000,N/A,774326400,30000000,0,81680000,41.1624,8.4094,6.1786,N/A,
600089.SH,特变电工,1997-07-24,0.1716,0.1711,0.1834,0.1705,0.1778,2965100,29087734,0.0062,3.5865,9.81,9.8837,294600000,N/A,802097600,30000000,0,81680000,42.6387,8.7111,6.4002,N/A,
600089.SH,特变电工,1997-07-25,0.1778,0.1774,0.1829,0.1747,0.1792,2180800,21683638,0.0014,0.8147,9.943,7.2693,297000000,N/A,808632000,30000000,0,81680000,42.9861,8.782,6.4524,N/A,
600089.SH,特变电工,1997-07-28,0.1792,0.181,0.1872,0.1778,0.1803,2644500,26779821,0.0011,0.6061,10.1266,8.815,298800000,N/A,813532800,30000000,0,81680000,43.2466,8.8352,6.4915,N/A,
600089.SH,特变电工,1997-07-29,0.1803,0.1789,0.1801,0.1754,0.1774,1541500,15071826,-0.0029,-1.6064,9.7774,5.1383,294000000,N/A,800464000,30000000,0,81680000,42.5519,8.6933,6.3872,N/A,
600089.SH,特变电工,1997-07-30,0.1774,0.1774,0.1901,0.1774,0.1885,2200800,22575075,0.011,6.2245,10.2577,7.336,312300000,N/A,850288800,30000000,0,81680000,45.2005,9.2344,6.7848,N/A,
600089.SH,特变电工,1997-07-31,0.1885,0.1892,0.1957,0.1861,0.1946,2121400,22327612,0.0062,3.2661,10.5249,7.0713,322500000,N/A,878060000,30000000,0,81680000,46.6768,9.536,7.0064,N/A,
600089.SH,特变电工,1997-08-01,0.1946,0.1953,0.2013,0.1919,0.2002,2789400,30619679,0.0056,2.8837,10.9772,9.298,331800000,N/A,903380800,30000000,0,81680000,48.0228,9.811,7.2084,N/A,
600089.SH,特变电工,1997-08-04,0.2002,0.2002,0.2037,0.1955,0.2015,1847800,20392788,0.0013,0.6329,11.0363,6.1593,333900000,N/A,909098400,30000000,0,81680000,48.3267,9.8731,7.254,N/A,
600089.SH,特变电工,1997-08-05,0.2015,0.2013,0.2037,0.1964,0.2001,1240300,13740891,-0.0014,-0.7188,11.0787,4.1343,331500000,N/A,902564000,30000000,0,81680000,47.9794,9.8021,7.2019,N/A,
600089.SH,特变电工,1997-08-06,0.2001,0.2002,0.2107,0.1959,0.2073,1602800,18022714,0.0072,3.6199,11.2445,5.3427,343500000,N/A,935236000,30000000,0,81680000,49.7162,10.157,7.4626,N/A,
600089.SH,特变电工,1997-08-07,0.2073,0.2046,0.2115,0.2031,0.2064,1814700,20884536,-0.0009,-0.4367,11.5085,6.049,342000000,N/A,931152000,30000000,0,81680000,49.4991,10.1126,7.43,N/A,
600089.SH,特变电工,1997-08-08,0.2064,0.2082,0.2212,0.208,0.2209,3135900,37450457,0.0145,7.0175,11.9425,10.453,366000000,N/A,996496000,30000000,0,81680000,52.9727,10.8223,7.9514,N/A,
600089.SH,特变电工,1997-08-11,0.2209,0.2174,0.2238,0.2136,0.2151,1510700,18153656,-0.0058,-2.623,12.0167,5.0357,356400000,N/A,970358400,30000000,0,81680000,51.5833,10.5384,7.7429,N/A,
600089.SH,特变电工,1997-08-12,0.2151,0.2118,0.2191,0.2082,0.2118,1748500,20641974,-0.0033,-1.5152,11.8055,5.8283,351000000,N/A,955656000,30000000,0,81680000,50.8017,10.3787,7.6255,N/A,
600089.SH,特变电工,1997-08-13,0.2118,0.2106,0.2109,0.1906,0.1991,2650700,29151973,-0.0127,-5.9829,10.9978,8.8357,330000000,N/A,898480000,30000000,0,81680000,47.7623,9.7578,7.1693,N/A,
600089.SH,特变电工,1997-08-14,0.1991,0.1937,0.2118,0.1937,0.2118,1389000,15686323,0.0127,6.3636,11.2932,4.63,351000000,N/A,955656000,30000000,0,81680000,50.8017,10.3787,7.6255,N/A,
600089.SH,特变电工,1997-08-15,0.2118,0.21,0.2191,0.21,0.2163,1927200,22949591,0.0045,2.1368,11.9083,6.424,358500000,N/A,976076000,30000000,0,81680000,51.8872,10.6005,7.7885,N/A,
600089.SH,特变电工,1997-08-18,0.2163,0.2136,0.2209,0.203,0.22,1348100,16076821,0.0036,1.6736,11.9255,4.4937,364500000,N/A,992412000,30000000,0,81680000,52.7556,4.063,7.9188,N/A,
600089.SH,特变电工,1997-08-19,0.22,0.2198,0.2209,0.2136,0.214,892700,10593564,-0.006,-2.716,11.8669,2.9757,354600000,N/A,965457600,30000000,0,81680000,51.3227,3.9527,7.7038,N/A,
600089.SH,特变电工,1997-08-20,0.214,0.2145,0.2202,0.2138,0.2173,510700,6090940,0.0033,1.5228,11.9266,1.7023,360000000,N/A,980160000,30000000,0,81680000,52.1043,4.0129,7.8211,N/A,
600089.SH,特变电工,1997-08-21,0.2173,0.2191,0.2263,0.2158,0.22,1017700,12375329,0.0027,1.25,12.1601,3.3923,364500000,N/A,992412000,30000000,0,81680000,52.7556,4.063,7.9188,N/A,
600089.SH,特变电工,1997-08-22,0.22,0.2136,0.223,0.2136,0.2187,1002400,12197689,-0.0013,-0.5761,12.1685,3.3413,362400000,N/A,986694400,30000000,0,81680000,52.4517,4.0396,7.8732,N/A,
600089.SH,特变电工,1997-08-25,0.2187,0.2191,0.2278,0.2191,0.2278,1177700,14584713,0.0091,4.1391,12.3841,3.9257,377400000,N/A,1027534400,30000000,0,81680000,54.6227,4.2068,8.1991,N/A,
600089.SH,特变电工,1997-08-26,0.2278,0.2299,0.2328,0.2218,0.2254,1051800,13097472,-0.0024,-1.0334,12.4524,3.506,373500000,N/A,1016916000,30000000,0,81680000,54.0582,4.1634,8.1144,N/A,
600089.SH,特变电工,1997-08-27,0.2254,0.2281,0.2422,0.2281,0.2417,2575900,33442243,0.0163,7.2289,12.9827,8.5863,400500000,N/A,1090428000,30000000,0,81680000,57.966,4.4643,8.7009,N/A,
600089.SH,特变电工,1997-08-28,0.2417,0.2408,0.2408,0.2321,0.2352,1340500,17500454,-0.0065,-2.6966,13.0552,4.4683,389700000,N/A,1061023200,30000000,0,81680000,56.4029,4.3439,8.4663,N/A,
600089.SH,特变电工,1997-08-29,0.2352,0.2381,0.2435,0.2337,0.2395,2429000,31798977,0.0043,1.8476,13.0914,8.0967,396900000,N/A,1080626400,30000000,0,81680000,57.445,4.4242,8.6227,N/A,
600089.SH,特变电工,1997-09-01,0.2395,0.235,0.2498,0.2323,0.2498,1774400,23623493,0.0103,4.3084,13.3135,5.9147,414000000,N/A,1127184000,30000000,0,81680000,59.92,4.6148,8.9942,N/A,
600089.SH,特变电工,1997-09-02,0.2498,0.2462,0.2462,0.2359,0.2435,1108200,14756229,-0.0063,-2.5362,13.3155,3.694,403500000,N/A,1098596000,30000000,0,81680000,58.4002,4.4978,8.7661,N/A,
600089.SH,特变电工,1997-09-03,0.2435,0.2417,0.2459,0.2381,0.2455,1342100,17978229,0.002,0.8178,13.3956,4.4737,406800000,N/A,1107580800,30000000,0,81680000,58.8779,4.5346,8.8378,N/A,
600089.SH,特变电工,1997-09-04,0.2455,0.2435,0.2495,0.2392,0.2462,1129200,15356803,0.0007,0.295,13.5997,3.764,408000000,N/A,1110848000,30000000,0,81680000,59.0515,4.5479,8.8639,N/A,
600089.SH,特变电工,1997-09-05,0.2462,0.2471,0.2471,0.239,0.2433,564100,7529489,-0.0029,-1.1765,13.3478,1.8803,403200000,N/A,1097779200,30000000,0,81680000,58.3568,4.4944,8.7596,N/A,
600089.SH,特变电工,1997-09-08,0.2433,0.2435,0.244,0.2326,0.2345,1214300,15709974,-0.0089,-3.6458,12.9375,4.0477,388500000,N/A,1057756000,30000000,0,81680000,56.2292,4.3306,8.4402,N/A,
600089.SH,特变电工,1997-09-09,0.2345,0.2339,0.2339,0.2274,0.2274,565900,7217909,-0.0071,-3.0116,12.7547,1.8863,376800000,N/A,1025900800,30000000,0,81680000,54.5358,4.2002,8.1861,N/A,
600089.SH,特变电工,1997-09-10,0.2274,0.2281,0.2346,0.2274,0.2299,541100,6856577,0.0025,1.1146,12.6716,1.8037,381000000,N/A,1037336000,30000000,0,81680000,55.1437,4.247,8.2773,N/A,
600089.SH,特变电工,1997-09-11,0.2299,0.2299,0.2345,0.2241,0.2281,697100,8787286,-0.0018,-0.7874,12.6055,2.3237,378000000,N/A,1029168000,30000000,0,81680000,54.7095,4.2135,8.2121,N/A,
600089.SH,特变电工,1997-09-12,0.2281,0.2281,0.2335,0.2263,0.2274,429300,5460194,-0.0007,-0.3175,12.7188,1.431,376800000,N/A,1025900800,30000000,0,81680000,54.5358,4.2002,8.1861,N/A,
600089.SH,特变电工,1997-09-15,0.2274,0.2281,0.2312,0.2176,0.2191,363200,4514668,-0.0083,-3.6624,12.4303,1.2107,363000000,N/A,988328000,30000000,0,81680000,52.5385,4.0463,7.8862,N/A,
600089.SH,特变电工,1997-09-16,0.2191,0.2191,0.2238,0.2173,0.2212,272700,3323444,0.0022,0.9917,12.1872,0.909,366600000,N/A,998129600,30000000,0,81680000,53.0596,4.0865,7.9645,N/A,
600089.SH,特变电工,1997-09-17,0.2212,0.2209,0.2209,0.2154,0.2173,213300,2561814,-0.004,-1.8003,12.0104,0.711,360000000,N/A,980160000,30000000,0,81680000,52.1043,4.0129,7.8211,N/A,
600089.SH,特变电工,1997-09-18,0.2173,0.2174,0.2281,0.2173,0.2218,349900,4323280,0.0045,2.0833,12.3558,1.1663,367500000,N/A,1000580000,30000000,0,81680000,53.1898,4.0965,7.984,N/A,
600089.SH,特变电工,1997-09-19,0.2218,0.2227,0.2243,0.2191,0.2212,143100,1757010,-0.0005,-0.2449,12.2782,0.477,366600000,N/A,998129600,30000000,0,81680000,53.0596,4.0865,7.9645,N/A,
600089.SH,特变电工,1997-09-22,0.2212,0.22,0.2205,0.212,0.2151,747600,8929000,-0.0062,-2.7823,11.9436,2.492,356400000,N/A,970358400,30000000,0,81680000,51.5833,3.9728,7.7429,N/A,
600089.SH,特变电工,1997-09-23,0.2151,0.2136,0.2147,0.2087,0.2129,840100,9782042,-0.0022,-1.0101,11.6439,2.8003,352800000,N/A,960556800,30000000,0,81680000,51.0622,3.9326,7.6646,N/A,
600089.SH,特变电工,1997-09-24,0.2129,0.2169,0.2263,0.2154,0.2259,849900,10474062,0.013,6.1224,12.3239,2.833,374400000,N/A,1019366400,30000000,0,81680000,54.1885,4.1734,8.1339,N/A,
600089.SH,特变电工,1997-09-25,0.2259,0.2259,0.2332,0.2212,0.2241,940100,11866343,-0.0018,-0.8013,12.6224,3.1337,371400000,N/A,1011198400,30000000,0,81680000,53.7543,4.14,8.0687,N/A,
600089.SH,特变电工,1997-09-26,0.2241,0.2245,0.2263,0.2209,0.2234,239200,2957904,-0.0007,-0.3231,12.3658,0.7973,370200000,N/A,1007931200,30000000,0,81680000,53.5806,4.1266,8.0427,N/A,
600089.SH,特变电工,1997-09-29,0.2234,0.2234,0.2234,0.2191,0.2191,254800,3103030,-0.0043,-1.9449,12.1783,0.8493,363000000,N/A,988328000,30000000,0,81680000,52.5385,4.0463,7.8862,N/A,
600089.SH,特变电工,1997-09-30,0.2191,0.2173,0.2245,0.2173,0.2245,787300,9525021,0.0054,2.4793,12.0983,2.6243,372000000,N/A,1012832000,30000000,0,81680000,53.8411,4.1466,8.0818,N/A,
600089.SH,特变电工,1997-10-06,0.2245,0.2247,0.2247,0.2173,0.2245,93600,1156307,0,0,12.3537,0.312,372000000,N/A,1012832000,30000000,0,81680000,53.8411,4.1466,8.0818,N/A,
600089.SH,特变电工,1997-10-07,0.2245,0.218,0.2254,0.218,0.2254,75300,927045,0.0009,0.4032,12.3114,0.251,373500000,N/A,1016916000,30000000,0,81680000,54.0582,4.1634,8.1144,N/A,
600089.SH,特变电工,1997-10-08,0.2254,0.2263,0.2281,0.2245,0.2281,304400,3817141,0.0027,1.2048,12.5399,1.0147,378000000,N/A,1029168000,30000000,0,81680000,54.7095,4.2135,8.2121,N/A,
600089.SH,特变电工,1997-10-09,0.2281,0.2287,0.229,0.2241,0.2259,154500,1934063,-0.0022,-0.9524,12.5182,0.515,374400000,N/A,1019366400,30000000,0,81680000,54.1885,4.1734,8.1339,N/A,
600089.SH,特变电工,1997-10-10,0.2259,0.2245,0.2272,0.2227,0.2245,75500,935632,-0.0014,-0.641,12.3925,0.2517,372000000,N/A,1012832000,30000000,0,81680000,53.8411,4.1466,8.0818,N/A,
600089.SH,特变电工,1997-10-13,0.2245,0.2272,0.2297,0.2247,0.2259,253200,3187385,0.0014,0.6452,12.5884,0.844,374400000,N/A,1019366400,30000000,0,81680000,54.1885,4.1734,8.1339,N/A,
600089.SH,特变电工,1997-10-14,0.2259,0.2245,0.2263,0.2198,0.2259,131100,1614334,0,0,12.3138,0.437,374400000,N/A,1019366400,30000000,0,81680000,54.1885,4.1734,8.1339,N/A,
600089.SH,特变电工,1997-10-15,0.2259,0.2308,0.2326,0.2254,0.2326,692300,8775918,0.0067,2.9647,12.6765,2.3077,385500000,N/A,1049588000,30000000,0,81680000,55.795,4.2971,8.3751,N/A,
600089.SH,特变电工,1997-10-16,0.2326,0.2314,0.2424,0.2281,0.2399,2191800,28750383,0.0072,3.1128,13.1172,7.306,397500000,N/A,1082260000,30000000,0,81680000,57.5318,4.4309,8.6358,N/A,
600089.SH,特变电工,1997-10-17,0.2399,0.2422,0.264,0.2335,0.2562,2671700,36616998,0.0163,6.7925,13.7055,8.9057,424500000,N/A,1155772000,30000000,0,81680000,61.4397,4.7319,9.2223,N/A,
