іъ¬л,Љт≥∆,»’∆Џ,«∞ ’≈ћЉџ(‘™),њ™≈ћЉџ(‘™),„оЄяЉџ(‘™),„оµЌЉџ(‘™), ’≈ћЉџ(‘™),≥…љїЅњ(є…),≥…љїљрґо(‘™),’«µш(‘™),’«µшЈщ(%),ЊщЉџ(‘™),її ÷¬ (%),Aє…ЅчЌ® –÷µ(‘™),Bє…ЅчЌ® –÷µ(‘™),„№ –÷µ(‘™),Aє…ЅчЌ®є…±Њ(є…),Bє…ЅчЌ®є…±Њ(є…),„№є…±Њ(є…), –”ѓ¬ , –Њї¬ , –ѕъ¬ , –ѕ÷¬ ,
603993.SH,¬е—фов“µ,2012-10-09,N/A,2.4772,2.7563,2.4658,2.742,175040418,1571741690,1.8878,221,8.9793,87.5202,1926000000,N/A,48883522155.75,200000000,0,5076170525,38.621,4.3848,8.0141,-811.3192,
603993.SH,¬е—фов“µ,2012-10-10,2.742,2.8132,3.0154,2.5598,3.0154,146349124,1397022023,0.2733,9.9688,9.5458,73.1746,2118000000,N/A,53756645859.75,200000000,0,5076170525,42.4711,4.8219,8.8131,-892.1984,
603993.SH,¬е—фов“µ,2012-10-11,3.0154,2.8787,2.9727,2.7136,2.7563,120872279,1213281052,-0.2591,-8.593,10.0377,60.4361,1936000000,N/A,49137330682,200000000,0,5076170525,38.8215,4.4076,8.0558,-815.5316,
603993.SH,¬е—фов“µ,2012-10-12,2.7563,2.6908,2.779,2.5712,2.5883,75998677,709372476,-0.168,-6.095,9.334,37.9993,1818000000,N/A,46142390072.25,200000000,0,5076170525,36.4553,4.1389,7.5648,-765.8246,
603993.SH,¬е—фов“µ,2012-10-15,2.5883,2.5911,2.6395,2.5199,2.594,55633510,504666843,0.0057,0.22,9.0713,27.8168,1822000000,N/A,46243913482.75,200000000,0,5076170525,36.5355,4.148,7.5814,-767.5096,
603993.SH,¬е—фов“µ,2012-10-16,2.594,2.5626,2.6054,2.5029,2.5228,43095012,386985012,-0.0712,-2.7442,8.9798,21.5475,1772000000,N/A,44974870851.5,200000000,0,5076170525,35.5329,4.0342,7.3734,-746.4473,
603993.SH,¬е—фов“µ,2012-10-17,2.5228,2.5285,2.5484,2.4288,2.4943,45126451,393767565,-0.0285,-1.1287,8.7259,22.5632,1752000000,N/A,44467253799,200000000,0,5076170525,35.1319,3.9887,7.2901,-738.0224,
603993.SH,¬е—фов“µ,2012-10-18,2.4943,2.4915,2.5911,2.4744,2.5655,55210820,491810765,0.0712,2.8539,8.9079,27.6054,1802000000,N/A,45736296430.25,200000000,0,5076170525,36.1345,4.1025,7.4982,-759.0847,
603993.SH,¬е—фов“µ,2012-10-19,2.5655,2.557,2.557,2.4658,2.4744,35181409,310167487,-0.0911,-3.5516,8.8162,17.5907,1738000000,N/A,44111921862.25,200000000,0,5076170525,34.8511,3.9568,7.2319,-732.125,
603993.SH,¬е—фов“µ,2012-10-22,2.4744,2.4203,2.4402,2.3633,2.4288,31156050,263086740,-0.0456,-1.8412,8.4442,15.578,1706000000,N/A,43299734578.25,200000000,0,5076170525,34.2095,3.8839,7.0987,-718.6451,
603993.SH,¬е—фов“µ,2012-10-23,2.4288,2.4488,2.6424,2.4231,2.5456,65124957,582180336,0.1167,4.8066,8.9394,32.5625,1788000000,N/A,45380964493.5,200000000,0,5076170525,35.8538,4.0706,7.4399,-753.1873,
603993.SH,¬е—фов“µ,2012-10-24,2.5456,2.5029,2.5142,2.4544,2.5029,31220333,272258058,-0.0427,-1.6779,8.7205,15.6102,1758000000,N/A,44619538914.75,200000000,0,5076170525,35.2522,4.0023,7.3151,-740.5499,
603993.SH,¬е—фов“µ,2012-10-25,2.5029,2.4772,2.5228,2.3804,2.4203,32584679,280109595,-0.0826,-3.2992,8.5964,16.2923,1700000000,N/A,43147449462.5,200000000,0,5076170525,36.7349,3.6124,7.0738,-716.1177,
603993.SH,¬е—фов“µ,2012-10-26,2.4203,2.4231,2.4345,2.2494,2.2751,33099025,269476876,-0.1452,-6,8.1415,16.5495,1598000000,N/A,40558602494.75,200000000,0,5076170525,34.5308,3.3956,6.6493,-673.1506,
603993.SH,¬е—фов“µ,2012-10-29,2.2751,2.2523,2.295,2.2324,2.2808,16396693,130437190,0.0057,0.2503,7.9551,8.1983,1602000000,N/A,40660125905.25,200000000,0,5076170525,34.6172,3.4041,6.666,-674.8356,
603993.SH,¬е—фов“µ,2012-10-30,2.2808,2.2722,2.3206,2.238,2.2893,19765438,158126824,0.0085,0.3745,8.0002,9.8827,1608000000,N/A,40812411021,200000000,0,5076170525,34.7469,3.4169,6.6909,-677.363,
603993.SH,¬е—фов“µ,2012-10-31,2.2893,2.2722,2.2865,2.2267,2.2722,15893521,125898556,-0.0171,-0.7463,7.9214,7.9468,1596000000,N/A,40507840789.5,200000000,0,5076170525,34.4876,3.3914,6.641,-672.3081,
603993.SH,¬е—фов“µ,2012-11-01,2.2722,2.2779,2.4431,2.2665,2.3434,56262080,469265090,0.0712,3.1328,8.3407,28.131,1646000000,N/A,41776883420.75,200000000,0,5076170525,35.568,3.4976,6.8491,-693.3704,
603993.SH,¬е—фов“µ,2012-11-02,2.3434,2.3292,2.4744,2.3235,2.3918,49745183,420437096,0.0484,2.0656,8.4518,24.8726,1680000000,N/A,42639832410,200000000,0,5076170525,36.3027,3.5699,6.9905,-707.6927,
603993.SH,¬е—фов“µ,2012-11-05,2.3918,2.3519,2.3662,2.3035,2.3235,25709213,210128782,-0.0683,-2.8571,8.1733,12.8546,1632000000,N/A,41421551484,200000000,0,5076170525,35.2655,3.4679,6.7908,-687.473,
603993.SH,¬е—фов“µ,2012-11-06,2.3235,2.3064,2.3292,2.2352,2.3149,23984781,192209527,-0.0085,-0.3676,8.0138,11.9924,1626000000,N/A,41269266368.25,200000000,0,5076170525,35.1358,3.4551,6.7658,-684.9455,
603993.SH,¬е—фов“µ,2012-11-07,2.3149,2.3064,2.4003,2.295,2.3719,35410333,293978966,0.0569,2.46,8.3021,17.7052,1666000000,N/A,42284500473.25,200000000,0,5076170525,36.0002,3.5401,6.9323,-701.7953,
603993.SH,¬е—фов“µ,2012-11-08,2.3719,2.3349,2.3548,2.2494,2.258,27769928,223456189,-0.1139,-4.8019,8.0467,13.885,1586000000,N/A,40254032263.25,200000000,0,5076170525,34.2715,3.3701,6.5994,-668.0956,
603993.SH,¬е—фов“µ,2012-11-09,2.258,2.2409,2.2836,2.2352,2.2722,13658305,108465862,0.0142,0.6305,7.9414,6.8292,1596000000,N/A,40507840789.5,200000000,0,5076170525,34.4876,3.3914,6.641,-672.3081,
603993.SH,¬е—фов“µ,2012-11-12,2.2722,2.3206,2.332,2.2551,2.2808,15762315,126412041,0.0085,0.3759,8.0199,7.8812,1602000000,N/A,40660125905.25,200000000,0,5076170525,34.6172,3.4041,6.666,-674.8356,
603993.SH,¬е—фов“µ,2012-11-13,2.2808,2.2665,2.2836,2.1669,2.1782,19731504,152442235,-0.1025,-4.4944,7.7258,9.8658,1530000000,N/A,38832704516.25,200000000,0,5076170525,33.0614,3.2511,6.3664,-644.5059,
603993.SH,¬е—фов“µ,2012-11-14,2.1782,2.1697,2.2238,2.164,2.1925,13170548,101450819,0.0142,0.6536,7.7029,6.5853,1540000000,N/A,39086513042.5,200000000,0,5076170525,33.2775,3.2724,6.408,-648.7183,
603993.SH,¬е—фов“µ,2012-11-15,2.1925,2.164,2.1868,2.0757,2.09,18395205,138147019,-0.1025,-4.6753,7.5099,9.1976,1468000000,N/A,37259091653.5,200000000,0,5076170525,31.7217,3.1194,6.1084,-618.3887,
603993.SH,¬е—фов“µ,2012-11-16,2.09,2.0786,2.0957,2.0273,2.053,13260686,95409782,-0.037,-1.7711,7.1949,6.6303,1442000000,N/A,36599189485.25,200000000,0,5076170525,31.1598,3.0641,6.0002,-607.4363,
603993.SH,¬е—фов“µ,2012-11-19,2.053,2.0444,2.1782,2.0359,2.1384,25322283,187923318,0.0854,4.1609,7.4213,12.6611,1502000000,N/A,38122040642.75,200000000,0,5076170525,32.4564,3.1916,6.2499,-632.711,
603993.SH,¬е—фов“µ,2012-11-20,2.1384,2.1412,2.1526,2.0672,2.0729,17117621,125881650,-0.0655,-3.0626,7.3539,8.5588,1456000000,N/A,36954521422,200000000,0,5076170525,31.4624,3.0939,6.0585,-613.3337,
603993.SH,¬е—фов“µ,2012-11-21,2.0729,2.07,2.1327,2.0416,2.1128,17421052,128032921,0.0399,1.9231,7.3493,8.7105,1484000000,N/A,37665185295.5,200000000,0,5076170525,32.0674,3.1534,6.175,-625.1286,
603993.SH,¬е—фов“µ,2012-11-22,2.1128,2.09,2.1355,2.0672,2.0843,14323878,105546590,-0.0285,-1.3477,7.3686,7.1619,1464000000,N/A,37157568243,200000000,0,5076170525,31.6352,3.1109,6.0918,-616.7037,
603993.SH,¬е—фов“µ,2012-11-23,2.0843,2.0871,2.1156,2.0729,2.1014,12786922,93993957,0.0171,0.8197,7.3508,6.3935,1476000000,N/A,37462138474.5,200000000,0,5076170525,31.8945,3.1364,6.1417,-621.7586,
603993.SH,¬е—фов“µ,2012-11-26,2.1014,2.1014,2.1014,2.0416,2.0473,10010020,72821941,-0.0541,-2.5745,7.2749,5.005,1438000000,N/A,36497666074.75,200000000,0,5076170525,31.0734,3.0556,5.9836,-605.7513,
603993.SH,¬е—фов“µ,2012-11-27,2.0473,2.0416,2.0473,1.9248,1.9334,15135199,105004542,-0.1139,-5.5633,6.9378,7.5676,1358000000,N/A,34467197864.75,200000000,0,5076170525,29.3447,2.8856,5.6507,-572.0516,
603993.SH,¬е—фов“µ,2012-11-28,1.9334,1.9021,1.9647,1.8964,1.9049,11279190,76258448,-0.0285,-1.4728,6.761,5.6396,1338000000,N/A,33959580812.25,200000000,0,5076170525,28.9125,2.8431,5.5675,-563.6267,
603993.SH,¬е—фов“µ,2012-11-29,1.9049,1.9106,1.9362,1.8309,1.8451,12037707,79729778,-0.0598,-3.139,6.6233,6.0189,1296000000,N/A,32893585002,200000000,0,5076170525,28.005,2.7539,5.3927,-545.9344,
603993.SH,¬е—фов“µ,2012-11-30,1.8451,1.8366,1.8707,1.8223,1.8679,13212324,85875093,0.0228,1.2346,6.4996,6.6062,1312000000,N/A,33299678644,200000000,0,5076170525,28.3507,2.7879,5.4593,-552.6743,
603993.SH,¬е—фов“µ,2012-12-03,1.8679,1.8536,1.8821,1.8024,1.8223,12142838,78450976,-0.0456,-2.439,6.4607,6.0714,1280000000,N/A,32487491360,200000000,0,5076170525,27.6592,2.7199,5.3261,-539.1945,
603993.SH,¬е—фов“µ,2012-12-04,1.8223,1.8536,1.9077,1.8394,1.8764,21104796,138433615,0.0541,2.9687,6.5593,10.5524,1318000000,N/A,33451963759.75,200000000,0,5076170525,28.4804,2.8006,5.4842,-555.2018,
603993.SH,¬е—фов“µ,2012-12-05,1.8764,1.8508,2.0188,1.8451,1.959,32911238,224946131,0.0826,4.4006,6.8349,16.4556,1376000000,N/A,34924053212,200000000,0,5076170525,29.7337,2.9239,5.7256,-579.634,
603993.SH,¬е—фов“µ,2012-12-06,1.959,1.9334,1.9562,1.9106,1.9362,19180220,130242488,-0.0228,-1.1628,6.7905,9.5901,1360000000,N/A,34517959570,200000000,0,5076170525,29.3879,2.8899,5.659,-572.8941,
603993.SH,¬е—фов“µ,2012-12-07,1.9362,1.9391,2.0985,1.9021,2.0245,36341230,256474162,0.0883,4.5588,7.0574,18.1706,1422000000,N/A,36091572432.75,200000000,0,5076170525,30.7277,3.0216,5.917,-599.0114,
603993.SH,¬е—фов“µ,2012-12-10,2.0245,2.0273,2.1213,2.0017,2.0729,34235708,248194448,0.0484,2.391,7.2496,17.1179,1456000000,N/A,36954521422,200000000,0,5076170525,31.4624,3.0939,6.0585,-613.3337,
603993.SH,¬е—фов“µ,2012-12-11,2.0729,2.0644,2.127,2.0416,2.053,26047386,190020233,-0.0199,-0.9615,7.2952,13.0237,1442000000,N/A,36599189485.25,200000000,0,5076170525,31.1598,3.0641,6.0002,-607.4363,
603993.SH,¬е—фов“µ,2012-12-12,2.053,2.0273,2.0729,1.9932,2.0558,17877169,127995349,0.0028,0.1387,7.1597,8.9386,1444000000,N/A,36649951190.5,200000000,0,5076170525,31.2031,3.0684,6.0085,-608.2787,
603993.SH,¬е—фов“µ,2012-12-13,2.0558,2.0558,2.0558,1.9818,1.9846,13677778,96820837,-0.0712,-3.4626,7.0787,6.8389,1394000000,N/A,35380908559.25,200000000,0,5076170525,30.1226,2.9621,5.8005,-587.2165,
603993.SH,¬е—фов“µ,2012-12-14,1.9846,1.9732,2.1839,1.9732,2.1839,38512999,284816114,0.1993,10.043,7.3953,19.2565,1534000000,N/A,38934227926.75,200000000,0,5076170525,33.1478,3.2596,6.383,-646.1909,
603993.SH,¬е—фов“µ,2012-12-17,2.1839,2.2779,2.3719,2.221,2.3007,74099397,594911589,0.1167,5.3455,8.0286,37.0497,1616000000,N/A,41015457842,200000000,0,5076170525,34.9198,3.4339,6.7242,-680.733,
603993.SH,¬е—фов“µ,2012-12-18,2.3007,2.2779,2.3462,2.2494,2.2865,44912811,361293942,-0.0142,-0.6188,8.0443,22.4564,1606000000,N/A,40761649315.75,200000000,0,5076170525,34.7037,3.4126,6.6826,-676.5206,
